From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price
BTC,Bitcoin,EUR,Euro,19271.80288000,2020-12-22 15:45:04,UTC,19271.79468800,19271.80288000
BTC,Bitcoin,EUR,Euro,19327.50137500,2020-12-22 15:50:01,UTC,19328.62436400,19328.85388000
BTC,Bitcoin,EUR,Euro,19288.76840200,2020-12-22 15:55:04,UTC,19288.76020100,19288.76840200
BTC,Bitcoin,EUR,Euro,19194.42982700,2020-12-22 16:00:04,UTC,19194.42982700,19194.43804000
BTC,Bitcoin,EUR,Euro,19223.36422600,2020-12-22 16:05:04,UTC,19223.35601300,19223.36422600
BTC,Bitcoin,EUR,Euro,19206.39805200,2020-12-22 16:10:01,UTC,19205.74930400,19205.75751600
BTC,Bitcoin,EUR,Euro,19199.02039300,2020-12-22 16:15:05,UTC,19199.02039300,19199.02860200
BTC,Bitcoin,EUR,Euro,19231.21267200,2020-12-22 16:20:03,UTC,19231.21267200,19231.22088000
BTC,Bitcoin,EUR,Euro,19180.87850300,2020-12-22 16:25:03,UTC,19179.92625900,19180.87850300
BTC,Bitcoin,EUR,Euro,19175.29638300,2020-12-22 16:30:02,UTC,19175.29638300,19175.30459200
BTC,Bitcoin,EUR,Euro,19142.54241900,2020-12-22 16:35:04,UTC,19141.49962200,19141.50783300
BTC,Bitcoin,EUR,Euro,19130.58267000,2020-12-22 16:40:03,UTC,19129.88439500,19130.58267000
BTC,Bitcoin,EUR,Euro,19098.19810600,2020-12-22 16:45:05,UTC,19098.18989300,19098.19810600
BTC,Bitcoin,EUR,Euro,19156.16546000,2020-12-22 16:50:01,UTC,19156.16546000,19156.17367300
